,Gensim_LSI,Word2vec_similarity_score,cosine_similarity_score
australian_number,0.68527764082,0.718190735688,1.0
australian_round,0.928120613098,0.715878918436,1.0
federer_australian,0.949249207973,0.724304192169,1.0
federer_number,0.874800860882,0.727110383336,1.0
federer_open,0.976385772228,0.722710942897,0.228313417068
federer_round,0.92877304554,0.724814397799,1.0
grand_australian,0.592869341373,0.706164137623,0.0904401946068
grand_federer,0.599635899067,0.715405964022,
grand_number,0.60753339529,0.708474117118,
grand_open,0.624214887619,0.704114385761,0.102177267786
grand_round,0.838861525059,0.706280683218,
henman_australian,0.825162708759,0.715300225704,0.0904401946068
henman_federer,0.960907161236,0.723998953067,
henman_grand,0.566231667995,0.705945085117,1.0
henman_number,0.970210909843,0.718255810407,
henman_open,0.879379451275,0.713542896029,0.102177267786
henman_round,0.856221973896,0.715524582195,
henman_seed,0.814603805542,0.719506750937,1.0
henman_williams,0.795074880123,0.70668245734,1.0
open_australian,0.994192004204,0.713871764391,0.228313417068
open_number,0.759521305561,0.716621443018,0.228313417068
open_round,0.94814401865,0.714037650755,0.228313417068
round_number,0.79450917244,0.718731131128,1.0
seed_australian,0.984218597412,0.720007213341,0.0904401946068
seed_federer,0.936980545521,0.728337715209,
seed_grand,,0.710408757686,1.0
seed_number,0.654503405094,0.722616800356,
seed_open,0.974378168583,0.71813640037,0.102177267786
seed_round,0.854704558849,0.720256210877,
seed_williams,0.664401829243,0.711400177723,1.0
williams_australian,0.775962531567,0.707034473721,0.0904401946068
williams_federer,0.818429946899,0.716233729618,0.0904401946068
williams_grand,0.948336064816,0.697115623465,1.0
williams_number,0.80220669508,0.709257961335,0.0904401946068
williams_open,0.814786314964,0.704918927354,0.102177267786
williams_round,0.955009937286,0.706993747474,0.0904401946068
